id,title,country,severity,longitude,latitude,temperature,humidity,wind_speed,rainfall,vegetation_index,thermal_anomaly,soil_moisture,historical_frequency
HS_0,Thermal Hotspot - Laos,Laos,Green,105.65993703583403,17.33516236486571,35.0,40.0,10.0,0.0,0.5,50.0,25.0,3.0
HS_1,Thermal Hotspot - India,India,Green,85.87540845200718,22.856787081945416,36.0,39.0,11.0,0.0,0.6,51.0,24.0,4.0
HS_2,Thermal Hotspot - Argentina,Argentina,Green,-71.36269750866799,-43.81358967631298,37.0,38.0,12.0,0.0,0.7,52.0,23.0,5.0
HS_3,Thermal Hotspot - Myanmar,Myanmar,Green,97.22677860810091,22.268083571693115,38.0,37.0,13.0,0.0,0.8,53.0,22.0,6.0
HS_4,Thermal Hotspot - India,India,Green,82.75055007046873,20.166615046302795,39.0,36.0,14.0,0.0,0.9,54.0,21.0,7.0
HS_5,Thermal Hotspot - India,India,Green,75.4700632660462,21.31260057973661,40.0,35.0,15.0,0.0,0.5,55.0,20.0,8.0
HS_6,Thermal Hotspot - India,India,Green,85.929085829406,21.268938313524355,41.0,34.0,16.0,0.0,0.6,56.0,19.0,9.0
HS_7,Thermal Hotspot - India,India,Green,82.38763318055246,20.247173955335917,42.0,33.0,17.0,0.0,0.7,57.0,18.0,10.0
HS_8,Thermal Hotspot - India,India,Green,85.06683260225303,20.269118977729153,43.0,32.0,18.0,0.0,0.8,58.0,17.0,11.0
HS_9,Thermal Hotspot - India,India,Green,85.4665975372224,22.70821711617075,44.0,31.0,19.0,0.0,0.9,59.0,16.0,12.0
HS_10,Thermal Hotspot - India,India,Green,79.42059869966897,19.479360848700328,45.0,30.0,20.0,0.0,0.5,60.0,15.0,3.0
HS_11,Thermal Hotspot - India,India,Green,84.8309169970708,21.606085879099513,46.0,29.0,21.0,0.0,0.6,61.0,14.0,4.0
HS_12,Thermal Hotspot - India,India,Green,84.40133360405112,19.89418329988957,47.0,28.0,10.0,0.0,0.7,62.0,13.0,5.0
HS_13,Thermal Hotspot - India,India,Green,85.6707405545642,22.587898752955507,48.0,27.0,11.0,0.0,0.8,63.0,12.0,6.0
HS_14,Thermal Hotspot - India,India,Green,82.58239173984906,19.673438882152286,49.0,26.0,12.0,0.0,0.9,64.0,11.0,7.0
HS_15,Thermal Hotspot - India,India,Green,85.50452640639134,21.380095548412292,35.0,25.0,13.0,0.0,0.5,65.0,25.0,8.0
HS_16,Thermal Hotspot - India,India,Green,77.85607577362146,14.135363626098572,36.0,24.0,14.0,0.0,0.6,66.0,24.0,9.0
HS_17,Thermal Hotspot - India,India,Green,84.63311194846368,20.13184644656365,37.0,23.0,15.0,0.0,0.7,67.0,23.0,10.0
HS_18,Thermal Hotspot - India,India,Green,84.44320280130376,20.198751530000028,38.0,22.0,16.0,0.0,0.8,68.0,22.0,11.0
HS_19,Thermal Hotspot - India,India,Green,87.45736791100488,24.449796441258435,39.0,21.0,17.0,0.0,0.9,69.0,21.0,12.0
HS_20,Thermal Hotspot - India,India,Green,85.48085517576035,21.76850986253654,40.0,40.0,18.0,0.0,0.5,70.0,20.0,3.0
HS_21,Thermal Hotspot - India,India,Green,82.31552368946043,20.021522985605703,41.0,39.0,19.0,0.0,0.6,71.0,19.0,4.0
HS_22,Thermal Hotspot - India,India,Green,82.55492315484643,20.32659740228631,42.0,38.0,20.0,0.0,0.7,72.0,18.0,5.0
HS_23,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,26.3315211947415,3.032740486239429,43.0,37.0,21.0,0.0,0.8,73.0,17.0,6.0
HS_24,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,24.44338514758659,0.4937468818847398,44.0,36.0,10.0,0.0,0.9,74.0,16.0,7.0
HS_25,"Thermal Hotspot - Central African Republic, The Democratic Republic of Congo","Central African Republic, The Democratic Republic of Congo",Green,22.49366580301363,4.264809565822456,45.0,35.0,11.0,0.0,0.5,75.0,15.0,8.0
HS_26,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,28.07086288460058,2.19895046849192,46.0,34.0,12.0,0.0,0.6,76.0,14.0,9.0
HS_27,Thermal Hotspot - India,India,Green,86.38724510932315,22.32524639205981,47.0,33.0,13.0,0.0,0.7,77.0,13.0,10.0
HS_28,Thermal Hotspot - India,India,Green,77.64546749550678,14.038543481589167,48.0,32.0,14.0,0.0,0.8,78.0,12.0,11.0
HS_29,Thermal Hotspot - India,India,Green,86.50870936529395,22.408185761377155,49.0,31.0,15.0,0.0,0.9,79.0,11.0,12.0
HS_30,Thermal Hotspot - India,India,Green,86.34126667948969,22.53535372264942,35.0,30.0,16.0,0.0,0.5,80.0,25.0,3.0
HS_31,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,29.61083218602478,3.5829464878462756,36.0,29.0,17.0,0.0,0.6,81.0,24.0,4.0
HS_32,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,23.796363628998463,2.801513774177706,37.0,28.0,18.0,0.0,0.7,82.0,23.0,5.0
HS_33,Thermal Hotspot - India,India,Green,85.24649212484907,21.376840496843972,38.0,27.0,19.0,0.0,0.8,83.0,22.0,6.0
HS_34,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,24.924360161535123,2.3849608856736353,39.0,26.0,20.0,0.0,0.9,84.0,21.0,7.0
HS_35,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,23.73423784736906,4.468487630718867,40.0,25.0,21.0,0.0,0.5,85.0,20.0,8.0
HS_36,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,27.52333051347674,4.7352159878481075,41.0,24.0,10.0,0.0,0.6,86.0,19.0,9.0
HS_37,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,28.56863774828356,2.596154832237868,42.0,23.0,11.0,0.0,0.7,87.0,18.0,10.0
HS_38,"Thermal Hotspot - The Democratic Republic of Congo, Central African Republic","The Democratic Republic of Congo, Central African Republic",Green,22.77772150671302,4.685074908603419,43.0,22.0,12.0,0.0,0.8,88.0,17.0,11.0
HS_39,Thermal Hotspot - India,India,Green,78.87813939772967,16.238231393031644,44.0,21.0,13.0,0.0,0.9,89.0,16.0,12.0
HS_40,Thermal Hotspot - India,India,Green,84.247410432243,19.81296200804108,45.0,40.0,14.0,0.0,0.5,90.0,15.0,3.0
HS_41,Thermal Hotspot - India,India,Green,84.63128064837059,21.546067844049823,46.0,39.0,15.0,0.0,0.6,91.0,14.0,4.0
HS_42,Thermal Hotspot - India,India,Green,82.36542679466015,20.428322026099018,47.0,38.0,16.0,0.0,0.7,92.0,13.0,5.0
HS_43,Thermal Hotspot - Nigeria,Nigeria,Green,5.40262319162201,7.717118689547457,48.0,37.0,17.0,0.0,0.8,93.0,12.0,6.0
HS_44,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,23.676326152377783,3.7393173328821945,49.0,36.0,18.0,0.0,0.9,94.0,11.0,7.0
HS_45,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,30.49389494432089,3.740260086701395,35.0,35.0,19.0,0.0,0.5,95.0,25.0,8.0
HS_46,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,27.539696023469737,2.3915939670650728,36.0,34.0,20.0,0.0,0.6,96.0,24.0,9.0
HS_47,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,29.312163716323983,2.974350637093939,37.0,33.0,21.0,0.0,0.7,97.0,23.0,10.0
HS_48,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,25.333895392967033,2.151561826238482,38.0,32.0,10.0,0.0,0.8,98.0,22.0,11.0
HS_49,Thermal Hotspot - Central African Republic,Central African Republic,Green,23.363108320541603,5.652323078463067,39.0,31.0,11.0,0.0,0.9,99.0,21.0,12.0
HS_50,Thermal Hotspot - Thailand,Thailand,Green,101.4202970005147,16.808225995008154,40.0,30.0,12.0,0.0,0.5,100.0,20.0,3.0
HS_51,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,28.78900371342466,0.2897670794444628,41.0,29.0,13.0,0.0,0.6,101.0,19.0,4.0
HS_52,Thermal Hotspot - Nepal,Nepal,GREEN,83.07092632538917,28.137416623881236,42.0,28.0,14.0,0.0,0.7,102.0,18.0,5.0
HS_53,Thermal Hotspot - India,India,Green,83.73578468580365,24.816932588361812,43.0,27.0,15.0,0.0,0.8,103.0,17.0,6.0
HS_54,Thermal Hotspot - India,India,Green,84.96344731300886,24.356080737031323,44.0,26.0,16.0,0.0,0.9,104.0,16.0,7.0
HS_55,Thermal Hotspot - India,India,Green,83.1084683097759,24.25635493860088,45.0,25.0,17.0,0.0,0.5,105.0,15.0,8.0
HS_56,Thermal Hotspot - India,India,GREEN,79.41167220049722,24.484609385811208,46.0,24.0,18.0,0.0,0.6,106.0,14.0,9.0
HS_57,Thermal Hotspot - Nepal,Nepal,Green,87.48914709991523,26.95232058352497,47.0,23.0,19.0,0.0,0.7,107.0,13.0,10.0
HS_58,Thermal Hotspot - Laos,Laos,Green,106.19836506837984,14.761853440764336,48.0,22.0,20.0,0.0,0.8,108.0,12.0,11.0
HS_59,Thermal Hotspot - Nepal,Nepal,Green,84.74045429141235,27.65038330111849,49.0,21.0,21.0,0.0,0.9,109.0,11.0,12.0
HS_60,Thermal Hotspot - India,India,Green,77.65093975873754,30.381806901504632,35.0,40.0,10.0,0.0,0.5,110.0,25.0,3.0
HS_61,Thermal Hotspot - China,China,Green,124.76618457379504,44.03461609605167,36.0,39.0,11.0,0.0,0.6,111.0,24.0,4.0
HS_62,Thermal Hotspot - Mali,Mali,Green,-4.648142888786718,14.48452126368858,37.0,38.0,12.0,0.0,0.7,112.0,23.0,5.0
HS_63,Thermal Hotspot - Cambodia,Cambodia,Green,106.5979970024578,14.076137587609947,38.0,37.0,13.0,0.0,0.8,113.0,22.0,6.0
HS_64,Thermal Hotspot - India,India,GREEN,84.46854856765766,23.538976704444476,39.0,36.0,14.0,0.0,0.9,114.0,21.0,7.0
HS_65,Thermal Hotspot - India,India,Green,79.42696034759238,14.06100838487198,40.0,35.0,15.0,0.0,0.5,115.0,20.0,8.0
HS_66,Thermal Hotspot - India,India,Green,76.30807070023047,22.263882881030064,41.0,34.0,16.0,0.0,0.6,116.0,19.0,9.0
HS_67,Thermal Hotspot - India,India,Green,80.1571890129816,22.87433496378556,42.0,33.0,17.0,0.0,0.7,117.0,18.0,10.0
HS_68,Thermal Hotspot - India,India,Green,79.16315090889645,14.788052242710329,43.0,32.0,18.0,0.0,0.8,118.0,17.0,11.0
HS_69,Thermal Hotspot - The Democratic Republic of Congo,The Democratic Republic of Congo,Green,20.279294108379183,2.319761147600022,44.0,31.0,19.0,0.0,0.9,119.0,16.0,12.0
HS_70,Thermal Hotspot - China,China,Green,125.2072899184273,43.40442641808047,45.0,30.0,20.0,0.0,0.5,120.0,15.0,3.0
HS_71,Thermal Hotspot - China,China,GREEN,124.59137742952578,44.15133985493223,46.0,29.0,21.0,0.0,0.6,121.0,14.0,4.0
HS_72,Thermal Hotspot - India,India,GREEN,80.45202977231027,23.600026924430292,47.0,28.0,10.0,0.0,0.7,122.0,13.0,5.0
HS_73,Thermal Hotspot - India,India,Green,79.77117848239497,20.317845370692627,48.0,27.0,11.0,0.0,0.8,123.0,12.0,6.0
