norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,975.8586308529293,Low LEO,LEO-Polar,LOW,90.223,0.00233107,2024,0,<1yr,13.76631525,2026-06-25 04:03:19.668096,celestrak,2026-06-25,US,2026-06-25
902,CALSPHERE 2,PAYLOAD,Other,1061.605322159804,Mid LEO,LEO-Polar,LOW,90.2369,0.00177412,2024,0,<1yr,13.52900699,2026-06-25 00:28:05.282112,celestrak,2026-06-25,US,2026-06-25
1361,LCS 1,PAYLOAD,Other,2787.8662954881665,High LEO,MEO,LOW,32.1358,0.00122932,2024,0,<1yr,9.89310796,2026-06-25 05:59:57.335424,celestrak,2026-06-25,US,2026-06-25
1512,TEMPSAT 1,PAYLOAD,Other,1133.2361001285244,Mid LEO,LEO-Polar,HIGH,89.9983,0.00682501,2024,0,<1yr,13.33594391,2026-06-25 02:07:36.024096,celestrak,2026-06-25,US,2026-06-25
1520,CALSPHERE 4A,PAYLOAD,Other,1123.1694367009586,Mid LEO,LEO-Polar,HIGH,89.8987,0.00721534,2024,0,<1yr,13.36279793,2026-06-25 04:06:28.926432,celestrak,2026-06-25,US,2026-06-25
2826,OPS 5712 (P/L 160),PAYLOAD,Other,636.242129179097,Low LEO,LEO-Inclined,MEDIUM,69.9176,9.075e-05,2024,0,<1yr,14.77811045,2026-06-25 04:06:28.639584,celestrak,2026-06-25,US,2026-06-25
2866,LES-5,PAYLOAD,Other,33400.92075958051,MEO,MEO,LOW,2.6419,0.00518432,2024,0,<1yr,1.09426126,2026-06-25 07:03:20.117376,celestrak,2026-06-25,US,2026-06-25
2872,SURCAL 159,PAYLOAD,Other,895.1649480403757,Low LEO,LEO-Inclined,MEDIUM,69.9749,0.0004497,2024,0,<1yr,13.99604518,2026-06-25 03:54:01.043712,celestrak,2026-06-25,US,2026-06-25
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.7949270181662,Low LEO,LEO-Inclined,LOW,69.9741,0.00080709,2024,0,<1yr,13.9682946,2026-06-25 05:09:51.691104,celestrak,2026-06-25,US,2026-06-25
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36389.38391437479,Beyond GEO,HEO,LOW,0.3105,0.0021787,2024,0,<1yr,0.98159344,2026-05-18 12:13:03.794016,celestrak,2026-05-18,US,2026-05-18
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,765.5236152842617,Low LEO,LEO-Polar,MEDIUM,87.6218,0.00589516,2024,0,<1yr,14.37876353,2026-06-25 04:40:44.031648,celestrak,2026-06-25,US,2026-06-25
