description,alertlevel,alertscore,episodealertlevel,episodealertscore,fromdate,todate,severity,severitytext,source,iso3,GDACS ID,Exposed countries,Exposed population,Maximum wind speed (km/h),Maximum storm surge (m),Vulnerability,longitude,latitude,Category
Red Tropical Cyclone NARGIS-08 off-shore from: 28 Apr 2008  to: 03 May 2008 .,Red,3.0,Green,1.0,2008-04-28 06:00:00,2008-05-03 12:00:00,74.029824,Tropical Storm (maximum wind speed of 212 km/h),JTWC,   ,TC 10238,Off-shore,7000000.0,74.0,-1.0,-1,97.5,18.299999237,-1.0
Orange Tropical Cyclone SONGDA-11 in Japan from: 22 May 2011  to: 29 May 2011 .,Orange,2.0,Green,1.0,2011-05-22 00:00:00,2011-05-29 12:00:00,64.37376,Tropical Depression (maximum wind speed of 259 km/h),JRC,   ,TC 24054,Japan,0.0,64.0,-1.0,Low,136.600000000219,34.3999999997814,-1.0
Green Tropical Cyclone MUIFA-11 in Japan from: 28 Jul 2011  to: 08 Aug 2011 .,Green,1.0,Green,1.0,2011-07-28 06:00:00,2011-08-08 12:00:00,286.463232,Tropical Storm (maximum wind speed of 259 km/h),JRC,   ,TC 25110,Japan,1200000.0,286.0,-1.0,Low,124.899999999781,40.2999999995609,5.0
Green Tropical Cyclone EUGENE-11 off-shore from: 31 Jul 2011  to: 06 Aug 2011 .,Green,1.0,Green,1.0,2011-07-31 15:00:00,2011-08-06 09:00:00,222.089472,Tropical Storm (maximum wind speed of 222 km/h),JRC,   ,TC 25192,Off-shore,0.0,222.0,-1.0,-1,-127.100000000219,18.8999999997814,4.0
"Green Tropical Cyclone NOCK-TEN-11 in Philippines,China,Vietnam from: 26 Jul 2011  to: 30 Jul 2011 .",Green,1.0,Green,1.0,2011-07-26 00:00:00,2011-07-30 12:00:00,120.7008,Tropical Storm (maximum wind speed of 120 km/h),JRC,   ,TC 25101,"Philippines,China,Vietnam",0.0,121.0,-1.0,High,105.5,19.1000000002186,1.0
"Green Tropical Cyclone DON-11 in Mexico,United States from: 27 Jul 2011  to: 30 Jul 2011 .",Green,1.0,Green,1.0,2011-07-27 21:00:00,2011-07-30 03:00:00,101.388672,Tropical Depression (maximum wind speed of 83 km/h),JRC,   ,TC 25153,"Mexico,United States",0.0,101.0,-1.0,Medium,-97.5,27.2000000004391,-1.0
Green Tropical Cyclone DORA-11 in Mexico from: 18 Jul 2011  to: 24 Jul 2011 .,Green,1.0,Green,1.0,2011-07-18 21:00:00,2011-07-24 15:00:00,204.386688,Tropical Storm (maximum wind speed of 249 km/h),JRC,   ,TC 25008,Mexico,0.0,204.0,-1.0,Medium,-114.200000000439,23.5,3.0
"Green Tropical Cyclone KATIA-11 in Canada,St. Pierre  and  Miquelon,Faroe Is.,United Kingdom,Ireland,Isle of Man from: 30 Aug 2011  to: 10 Sep 2011 .",Green,1.0,Green,1.0,2011-08-30 09:00:00,2011-09-10 09:00:00,212.433408,Hurricane/Typhoon > 74 mph (maximum wind speed of 212 km/h),JRC,CAN,TC 25669,"Canada,St. Pierre & Miquelon,Faroe Is.,United Kingdom,Ireland,Isle of Man",0.0,212.0,-1.0,Low,-53.3999999997814,43.2999999995609,4.0
Green Tropical Cyclone TALAS-11 in Japan from: 25 Aug 2011  to: 04 Sep 2011 .,Green,1.0,Green,1.0,2011-08-25 06:00:00,2011-09-04 00:00:00,175.418496,Tropical Depression (maximum wind speed of 101 km/h),JRC,JPN,TC 25618,Japan,0.0,175.0,-1.0,Low,134.5,37.0,2.0
"Orange Tropical Cyclone NANMADOL-11 in China,Philippines from: 23 Aug 2011  to: 31 Aug 2011 .",Orange,2.0,Green,1.0,2011-08-23 18:00:00,2011-08-31 00:00:00,268.760448,Tropical Depression (maximum wind speed of 249 km/h),JRC,CHN,TC 25577,"China,Philippines",1400000.0,269.0,0.1,Medium,118.700000000439,24.8999999997814,5.0
Green Tropical Cyclone JOSE-11 off-shore from: 28 Aug 2011  to: 29 Aug 2011 .,Green,1.0,Green,1.0,2011-08-28 12:00:00,2011-08-29 09:00:00,74.029824,Tropical Storm (maximum wind speed of 74 km/h),JRC,   ,TC 25662,Off-shore,0.0,74.0,-1.0,-1,-64.7000000004391,37.2000000004391,-1.0
"Orange Tropical Cyclone IRENE-11 in Dominican Republic,The Bahamas,United States,Puerto Rico from: 20 Aug 2011  to: 29 Aug 2011 .",Orange,2.0,Green,1.0,2011-08-20 23:00:00,2011-08-29 03:00:00,212.433408,Tropical Storm (maximum wind speed of 194 km/h),JRC,DOM,TC 25532,"Dominican Republic,The Bahamas,United States,Puerto Rico",31000000.0,212.0,4.3,Medium,-71.2999999995609,45.2999999995609,4.0
Green Tropical Cyclone TEN-11 off-shore from: 25 Aug 2011  to: 27 Aug 2011 .,Green,1.0,Green,1.0,2011-08-25 09:00:00,2011-08-27 03:00:00,93.341952,Tropical Depression (maximum wind speed of 56 km/h),JRC,   ,TC 25619,Off-shore,0.0,93.0,-1.0,-1,-34.0,16.0,-1.0
Green Tropical Cyclone PHILIPPE-11 off-shore from: 24 Sep 2011  to: 09 Oct 2011 .,Green,1.0,Green,1.0,2011-09-24 21:00:00,2011-10-09 03:00:00,148.059648,Tropical Storm (maximum wind speed of 148 km/h),JRC,   ,TC 26125,Off-shore,0.0,148.0,0.1,-1,-43.8999999997814,38.3999999997814,1.0
Orange Tropical Cyclone NALGAE-11 in Philippines from: 27 Sep 2011  to: 05 Oct 2011 .,Orange,2.0,Green,1.0,2011-09-27 18:00:00,2011-10-05 12:00:00,241.4016,Tropical Depression (maximum wind speed of 241 km/h),JRC,PHL,TC 26165,Philippines,0.0,241.0,1.3,Medium,107.399999999781,18.1000000002186,4.0
