name,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,altitude_km,orbit_type
CALSPHERE 1,2026-04-02 22:22:52.999968,90.2189,70.0056,0.0026148,154.7848,259.5772,13.76531753,983.3509751144811,LEO
CALSPHERE 2,2026-04-02 23:05:19.732416,90.2307,73.9984,0.002066,86.1916,334.0569,13.52894316,1068.7657227744894,LEO
LCS 1,2026-04-02 22:38:16.883808,32.1472,355.6802,0.0013333,215.8702,144.09,9.89309894,2795.008866869297,MEO
TEMPSAT 1,2026-04-02 13:44:22.687584,89.9985,212.5808,0.0071567,100.9314,271.9048,13.33590671,1140.3870685800384,LEO
CALSPHERE 4A,2026-04-02 20:16:25.529088,89.8986,123.2386,0.0068112,317.4989,216.1466,13.36264044,1130.3653760717834,LEO
OPS 5712 (P/L 160),2026-04-02 21:14:46.070016,69.9173,222.7068,0.0002758,219.9041,140.1904,14.76684246,646.9469379695865,LEO
LES-5,2026-04-02 21:38:17.166912,2.4489,98.6282,0.0055184,210.6922,251.1172,1.09425915,33408.10889541666,MEO
SURCAL 159,2026-04-02 21:39:38.050272,69.974,162.9416,0.0008795,228.883,131.1519,13.99583484,902.3748203159385,LEO
OPS 5712 (P/L 153),2026-04-02 22:23:58.620768,69.9722,276.6055,0.0009842,286.7374,73.2651,13.96817053,911.9750532588605,LEO
OPS 3811 (DSP 2),2026-04-02 14:07:56.456832,0.2476,16.0636,0.0023055,278.115,14.5955,0.98160004,36396.329209713804,GEO
RIGIDSPHERE 2 (LCS 4),2026-04-02 21:23:21.970464,87.6279,359.7074,0.0061793,121.3592,239.3674,14.37781152,772.9759512347782,LEO
OSCAR 7 (AO-7),2026-04-02 20:08:57.379200,101.9952,105.2895,0.001187,275.0015,262.3651,12.53696924,1456.2066702384564,LEO
STARLETTE,2026-04-02 21:45:45.585504,49.825,41.7353,0.0205639,174.3462,185.982,13.82349389,962.7025516094491,LEO
LAGEOS 1,2026-04-02 10:46:01.447968,109.8113,153.4172,0.0044673,318.4879,58.4987,6.38664824,5900.1851813792855,MEO
OPS 8701 (DSP 10),2026-04-02 14:16:09.667776,9.4434,309.77,0.000457,328.0833,4.0669,0.98188941,36387.926233526974,GEO
PHASE 3B (AO-10),2026-04-02 14:45:34.431840,25.9057,232.2039,0.6038024,94.7765,332.2066,2.05870088,19730.95327353105,MEO
UOSAT 2 (UO-11),2026-04-02 21:47:18.614976,97.7988,59.3652,0.0009166,76.1014,284.1223,14.90594923,603.2163584855625,LEO
AJISAI (EGS),2026-04-02 23:18:33.692256,50.012,18.6817,0.0011356,349.5043,93.4362,12.44515671,1494.6556262920003,LEO
TDRS 3,2026-04-02 12:38:07.452096,12.6593,341.5021,0.0042351,355.7612,354.1565,1.00268231,35794.728305833116,GEO
COSMOS 1989 (ETALON 1),2026-04-02 11:37:32.254176,64.9031,74.7829,0.0023392,217.6331,336.1143,2.13156053,19132.711957849762,MEO
COSMOS 2024 (ETALON 2),2026-04-02 06:25:53.224896,64.9802,313.1521,0.0020491,213.1144,318.9954,2.13204633,19128.837691249875,MEO
FLTSATCOM 8 (USA 46),2026-04-02 13:28:02.662752,12.4427,351.6176,0.0007964,357.5703,169.5093,1.00272525,35793.52451360368,GEO
LUSAT (LO-19),2026-04-01 23:51:20.902752,98.8915,111.6795,0.0012617,71.7017,288.5538,14.34097888,785.2028705347047,LEO
HST,2026-04-02 16:34:45.475104,28.4721,236.2244,0.0002065,42.6057,317.4699,15.29872856,483.3290364934701,LEO
SKYNET 4C,2026-04-02 19:52:27.318144,13.3642,350.3294,0.0003517,14.6637,157.662,1.00275876,35792.58514437388,GEO
USA 65 (DSP 15),2026-04-02 15:02:31.797888,14.0504,344.5704,0.0004315,64.4082,101.3837,0.98396386,36327.807188577775,GEO
TDRS 5,2026-04-02 10:36:38.888064,14.0811,354.3402,0.0008908,279.9842,268.0328,1.00278343,35791.893615921224,GEO
USA 75 (DSP 16),2026-04-02 02:25:47.745984,14.0449,346.0517,0.0003908,68.5536,116.7157,0.99187365,36100.500626172405,GEO
LAGEOS 2,2026-03-20 02:10:27.910848,52.6746,322.9737,0.0137714,148.3601,4.1736,6.47293426,5790.889236738887,MEO
TDRS 6,2026-04-02 15:05:56.917536,14.182,357.62,0.0005094,183.3943,190.544,1.00268131,35794.75634114263,GEO
