active_satellites,inactive_satellites,debris_objects,average_altitude,orbital_velocity,launch_frequency,collision_alerts,solar_activity,orbital_region,traffic_density,congestion
3146,920,18590,23620.79673397043,4.2361933190022665,11.096151620392138,53,123.59972478965074,1,0.3929824644137211,0
4486,1036,18036,31572.388124445315,3.3351582498996386,15.462087358246372,78,77.8145839496827,2,0.7950398911241382,0
3570,2516,19284,18099.74181592072,2.240021821073445,19.101561910087547,46,131.08750592709754,3,0.926914334232482,1
3358,2076,9331,24978.560081640153,6.703645210129775,6.1534875344587014,31,249.6293260381745,1,0.9162486591937037,0
2202,2862,7294,6716.25186977955,5.14429562075284,14.435928950410782,27,121.5134598703742,1,0.11887159225615618,0
1843,352,10887,302.7349982788453,6.09863004634749,8.690061457459786,10,105.47989769291146,3,0.301527412202269,0
1546,1059,9452,6366.692998097169,3.204742795954737,15.675455792200543,38,219.23427491998234,1,0.6603756984845576,0
1594,2769,1743,2427.2826193911937,3.750714836042437,3.2855392524248184,16,223.58759996469132,3,0.20353873421587332,0
1579,1250,15240,15512.30528996235,7.395506101776401,10.017128343282899,75,117.77383096639306,1,0.05142522493978552,1
539,996,19335,16965.259474037317,7.728275998061672,1.5437385573842732,38,109.73462812248616,2,0.9536830070906005,0
4285,451,19433,23272.122570847274,6.178895252763916,11.223490584046987,72,179.4562955094834,2,0.3294990439220503,0
267,2268,12381,5239.632817904401,6.245982107030208,3.3794721844957287,24,91.03569674412198,1,0.4199148313520493,1
2550,473,8626,7886.836290363572,5.860801939489562,19.200901394329218,25,146.73708052453864,3,0.2724719527041949,0
2345,2488,10306,28780.076619562624,5.110469552984017,11.086606632032083,67,78.26873832954186,2,0.3252010903608291,0
1687,2178,15583,20839.505313094935,5.165548309575366,10.587491765768204,61,110.95095564657038,2,0.9640489067805613,1
4927,2932,7773,1251.2166539046877,7.746620232547773,19.44661447370716,18,109.49629953974893,1,0.19178372962083656,0
2476,1468,9812,30572.88726919635,6.256380687401337,9.968305735535106,12,188.97999300188917,2,0.4949319720009525,0
3834,2116,7121,22747.04041643365,5.587389072675031,13.534529280892269,28,106.45460699895173,3,0.6381396208622497,0
1419,303,13660,6881.680010426181,2.3234872201548207,0.9336305796054556,53,229.69914067811354,3,0.22437952815770312,0
1833,1495,3108,9223.953536997802,7.839517823323898,14.166776311871168,72,246.60921887384632,2,0.7156327187023671,0
3477,511,18329,20016.997414943686,4.6420535880682365,2.0862074757053106,41,66.21234025149019,1,0.6824756198617151,1
4259,2708,4299,20276.682298630887,7.605992608223265,15.604692589603976,61,129.52952636952062,3,0.9547484092580774,1
3582,2749,12364,29025.754169065534,5.994902763000561,17.53691665090632,70,110.36821269882742,3,0.4603657107024911,1
1216,1351,16270,13037.258446605525,1.2805658750619882,6.309357371288424,70,120.39802570219,3,0.384697498261233,1
940,922,10040,19865.05264658041,4.772968498284742,17.562600281012383,20,103.07097721399055,2,0.3610881874594939,1
1935,1003,12709,21054.85963023644,7.248774830237154,9.652734831122673,8,126.53297224060498,3,0.3643187008744143,1
1557,1155,12190,20200.615754614526,1.3624647985590106,11.431521623722507,44,78.2829185537977,3,0.03764386370004469,1
3774,2838,18940,2810.029264522823,7.067092852285473,8.219657421725763,26,105.96365510906753,2,0.23622049214648821,1
1482,2134,19936,14922.852904732972,5.293739045547012,9.530842549244252,47,199.5635755912768,2,0.12004115266205051,1
2606,445,19217,12332.051542156496,1.3116908341437616,18.16541794034113,84,118.80930513035199,2,0.8806066760603899,0
2201,1320,13954,35741.442312965766,3.6151883146806982,18.945888063468175,68,91.56697946496959,1,0.056216151259385505,1
4493,846,11155,16871.650572857638,1.2111941597080538,8.917378841831145,4,71.6888077129683,1,0.36520119780266835,1
4894,393,15791,15781.15794972155,1.0120140842943868,10.287229455324017,71,119.60082945663719,2,0.21941711445300593,1
