,description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity (magnitude),source,iso3,Death,Displaced,GDACS_ID,longitude,latitude
0,ORANGE Flood in Mozambique from: 26 Jan 2000 00 to: 27 Mar 2000 23.,ORANGE,2.0,ORANGE,2.0,Mozambique,2000-01-26 00:00:00,2000-03-27 23:59:59,7.74,DFO,MOZ,929.0,733000.0,FL 1583,31.712,-27.822
1,GREEN Flood in Philippines from: 28 Jan 2000 00 to: 01 Feb 2000 23.,GREEN,1.0,GREEN,1.0,Philippines ,2000-01-28 00:00:00,2000-02-01 23:59:59,4.92,DFO,PHL,23.0,20000.0,FL 1584,126.1,7.199
2,GREEN Flood in Angola from: 08 Jan 2000 00 to: 15 Jan 2000 23.,GREEN,1.0,GREEN,1.0,Angola,2000-01-08 00:00:00,2000-01-15 23:59:59,5.58,DFO,AGO,31.0,70000.0,FL 1582,13.246,-14.145
3,ORANGE Flood in Southeastern Brazil from: 01 Jan 2000 00 to: 01 Jan 2000 00.,ORANGE,2.0,Orange,2.0,Southeastern Brazil  ,2000-01-01 00:00:00,2000-01-01 00:00:00,6.55,DFO,   ,40.0,100000.0,FL 1581,-49.304,-24.891
4,RED Flood in Madagascar from: 17 Feb 2000 00 to: 11 Mar 2000 23.,RED,3.0,RED,3.0,Madagascar,2000-02-17 00:00:00,2000-03-11 23:59:59,6.79,DFO,MDG,200.0,800000.0,FL 1587,47.296,-15.783
5,GREEN Flood in Australia from: 18 Feb 2000 00 to: 01 Mar 2000 23.,GREEN,1.0,GREEN,1.0,Australia ,2000-02-18 00:00:00,2000-03-01 23:59:59,7.09,DFO,AUS,1.0,200.0,FL 1586,143.698,-31.268
6,GREEN Flood in USA from: 18 Feb 2000 00 to: 22 Feb 2000 23.,GREEN,1.0,GREEN,1.0,USA,2000-02-18 00:00:00,2000-02-22 23:59:59,5.44,DFO,USA,8.0,40.0,FL 1585,-83.55,37.723
7,GREEN Flood in USA from: 29 Mar 2000 00 to: 31 Mar 2000 23.,GREEN,1.0,GREEN,1.0,USA,2000-03-29 00:00:00,2000-03-31 23:59:59,4.86,DFO,USA,3.0,-1.0,FL 1594,-99.931,33.739
8,GREEN Flood in Argentina from: 09 Mar 2000 00 to: 17 Mar 2000 23.,GREEN,1.0,GREEN,1.0,Argentina,2000-03-09 00:00:00,2000-03-17 23:59:59,6.85,DFO,ARG,7.0,15000.0,FL 1591,-64.907,-27.17
9,GREEN Flood in Czech Republic from: 09 Mar 2000 00 to: 11 Mar 2000 23.,GREEN,1.0,GREEN,1.0,Czech Republic,2000-03-09 00:00:00,2000-03-11 23:59:59,4.69,DFO,CZE,2.0,-1.0,FL 1592,17.944,49.244
