description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in Laos from: 23 Feb 2021 to: 23 Mar 2021.,Green,1.0,1.0,Laos,2021-02-23,2021-03-23,5070.0,LAO,WF 1000144,0.0,28.0,105.65993703583405,17.33516236486571
Green Forest fires in India from: 25 Feb 2021 to: 11 Mar 2021.,Green,1.0,1.0,India,2021-02-25,2021-03-11,9866.0,IND,WF 1000128,35445.0,14.0,85.87540845200718,22.856787081945416
Green Forest fires in Argentina from: 25 Feb 2021 to: 08 Mar 2021.,Green,1.0,1.0,Argentina,2021-02-25,2021-03-08,5326.0,ARG,WF 1000127,0.0,11.0,-71.36269750866799,-43.81358967631298
Green Forest fires in Myanmar from: 23 Feb 2021 to: 08 Mar 2021.,Green,1.0,1.0,Myanmar,2021-02-23,2021-03-08,5353.0,MMR,WF 1000143,0.0,13.0,97.22677860810091,22.268083571693115
Green Forest fires in India from: 23 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-23,2021-03-07,7572.0,IND,WF 1000142,8550.0,12.0,82.75055007046873,20.166615046302795
Green Forest fires in India from: 20 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-20,2021-03-07,5330.0,IND,WF 1000154,0.0,15.0,75.4700632660462,21.31260057973661
Green Forest fires in India from: 19 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-19,2021-03-07,65662.0,IND,WF 1000156,95313.0,16.0,85.929085829406,21.268938313524355
Green Forest fires in India from: 24 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-24,2021-03-07,21008.0,IND,WF 1000136,0.0,11.0,82.38763318055246,20.247173955335917
Green Forest fires in India from: 23 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-23,2021-03-07,8178.0,IND,WF 1000145,0.0,12.0,85.06683260225303,20.269118977729153
Green Forest fires in India from: 27 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-27,2021-03-07,10690.0,IND,WF 1000107,56605.0,8.0,85.4665975372224,22.70821711617075
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,7088.0,IND,WF 1000118,0.0,9.0,79.42059869966897,19.479360848700328
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,9668.0,IND,WF 1000121,0.0,9.0,84.8309169970708,21.606085879099513
